Domain,Predicted,Actual
-0.274778,-0.277269,-0.271333
-0.224778,-0.227623,-0.22289
-0.174778,-0.178136,-0.173889
-0.124778,-0.129151,-0.124454
-0.074778,-0.0809596,-0.0747083
-0.024778,-0.0337425,-0.0247754
0.025222,0.0124768,0.0252194
0.075222,0.0578458,0.0751511
0.125222,0.102655,0.124895
0.175222,0.147286,0.174327
0.225222,0.192152,0.223323
0.275222,0.237647,0.271761
0.325222,0.284101,0.319519
0.375222,0.33175,0.366479
0.425222,0.380711,0.412523
0.475222,0.430976,0.457536
0.525222,0.482411,0.501405
0.575222,0.534754,0.544021
0.625222,0.587584,0.585277
0.675222,0.640222,0.625071
0.725222,0.691594,0.663302
0.775222,0.740179,0.699875
0.825222,0.784217,0.734698
0.875222,0.822203,0.767686
0.925222,0.853394,0.798754
0.975222,0.877953,0.827826
1.02522,0.896719,0.854829
1.07522,0.910809,0.879696
1.12522,0.921309,0.902363
1.17522,0.929123,0.922775
1.22522,0.934944,0.940881
1.27522,0.939274,0.956635
1.32522,0.942467,0.969998
1.37522,0.944768,0.980936
1.42522,0.946341,0.989423
1.47522,0.947288,0.995436
1.52522,0.947665,0.998962
1.57522,0.947487,0.99999
1.62522,0.946729,0.998519
1.67522,0.945328,0.994553
1.72522,0.943167,0.9881
1.77522,0.940072,0.979178
1.82522,0.935787,0.967808
1.87522,0.929961,0.954019
1.92522,0.922126,0.937846
1.97522,0.911702,0.919329
2.02522,0.898042,0.898513
2.07522,0.880545,0.875452
2.12522,0.858835,0.850203
2.17522,0.83292,0.822829
2.22522,0.803218,0.793398
2.27522,0.770362,0.761984
2.32522,0.734918,0.728665
2.37522,0.697217,0.693525
2.42522,0.657402,0.656652
2.47522,0.615612,0.618137
2.52522,0.572135,0.578077
2.57522,0.527452,0.536573
2.62522,0.482148,0.493727
2.67522,0.436757,0.449647
2.72522,0.391637,0.404444
2.77522,0.346913,0.358229
2.82522,0.302493,0.311119
2.87522,0.258138,0.263232
2.92522,0.213545,0.214686
2.97522,0.168419,0.165604
3.02522,0.122524,0.116108
3.07522,0.0757067,0.0663219
3.12522,0.0279137,0.0163699
3.17522,-0.0208191,-0.033623
3.22522,-0.0703749,-0.0835319
3.27522,-0.120572,-0.133232
3.32522,-0.171179,-0.182599
3.37522,-0.221936,-0.23151
3.42522,-0.272559,-0.279842
3.47522,-0.322761,-0.327474
3.52522,-0.372252,-0.374289
3.57522,-0.420747,-0.420167
3.62522,-0.467969,-0.464995
3.67522,-0.513649,-0.508661
3.72522,-0.557531,-0.551056
3.77522,-0.59937,-0.592074
3.82522,-0.638942,-0.631611
3.87522,-0.676046,-0.66957
3.92522,-0.710514,-0.705855
3.97522,-0.742222,-0.740376
4.02522,-0.771093,-0.773046
4.07522,-0.797104,-0.803784
4.12522,-0.820287,-0.832514
4.17522,-0.840728,-0.859162
4.22522,-0.858557,-0.883663
4.27522,-0.87394,-0.905955
4.32522,-0.887069,-0.925982
4.37522,-0.898144,-0.943696
4.42522,-0.907368,-0.95905
4.47522,-0.914933,-0.972008
4.52522,-0.921012,-0.982535
4.57522,-0.925757,-0.990607
4.62522,-0.92929,-0.996203
4.67522,-0.931707,-0.999309
4.72522,-0.933069,-0.999918
4.77522,-0.933405,-0.998027
4.82522,-0.932711,-0.993641
4.87522,-0.930944,-0.986772
4.92522,-0.928024,-0.977436
4.97522,-0.923826,-0.965658
5.02522,-0.918179,-0.951466
5.07522,-0.910864,-0.934895
5.12522,-0.901611,-0.915988
5.17522,-0.890101,-0.894791
5.22522,-0.875979,-0.871358
5.27522,-0.858862,-0.845747
5.32522,-0.838374,-0.818022
5.37522,-0.814177,-0.788252
5.42522,-0.786011,-0.756512
5.47522,-0.753745,-0.722881
5.52522,-0.717404,-0.687444
5.57522,-0.677191,-0.650288
5.62522,-0.633482,-0.611507
5.67522,-0.586796,-0.571197
5.72522,-0.537753,-0.529459
5.77522,-0.487018,-0.486399
5.82522,-0.43525,-0.442122
5.87522,-0.383063,-0.396741
5.92522,-0.330991,-0.350367
5.97522,-0.279479,-0.303118
6.02522,-0.22887,-0.255112
6.07522,-0.179411,-0.206467
6.12522,-0.13125,-0.157307
6.17522,-0.0844454,-0.107754
6.22522,-0.038971,-0.0579308
6.27522,0.00528011,-0.00796318
6.32522,0.0484865,0.0420244
6.37522,0.0908904,0.0919069
6.42522,0.132788,0.14156
6.47522,0.174523,0.190859
6.52522,0.216472,0.23968
6.57522,0.25904,0.287903
6.62522,0.302648,0.335407
6.67522,0.347705,0.382071
6.72522,0.394575,0.427781
6.77522,0.443489,0.472422
6.82522,0.494429,0.515882
6.87522,0.546957,0.558052
6.92522,0.600072,0.598828
6.97522,0.652184,0.638107
7.02522,0.701336,0.675791
7.07522,0.745658,0.711785
7.12522,0.783854,0.746001
7.17522,0.815461,0.778352
7.22522,0.840785,0.808758
7.27522,0.860614,0.837142
7.32522,0.875914,0.863433
7.37522,0.887614,0.887567
7.42522,0.896502,0.909482
7.47522,0.903202,0.929124
7.52522,0.908183,0.946444
7.57522,0.911788,0.961397
7.62522,0.91426,0.973948
7.67522,0.915766,0.984065
7.72522,0.916412,0.991722
7.77522,0.916258,0.9969
7.82522,0.915324,0.999586
7.87522,0.913598,0.999774
7.92522,0.91104,0.997463
7.97522,0.907579,0.992659
8.02522,0.90312,0.985374
8.07522,0.897541,0.975626
8.12522,0.890691,0.963439
8.17522,0.882396,0.948844
8.22522,0.872457,0.931878
8.27522,0.860655,0.912582
8.32522,0.846757,0.891006
8.37522,0.830527,0.867202
8.42522,0.811738,0.841231
8.47522,0.790188,0.813157
8.52522,0.765719,0.783051
8.57522,0.738239,0.750987
8.62522,0.707734,0.717047
8.67522,0.674289,0.681314
